category,link,make_again,name,rating,summary
article,/recipes-menus/5-summer-salads-that-can-be-made-ahead-of-time-recipes-article,,5 Summer Salads That Get Better Overnight,,Not every salad needs to be eaten the day it's made.
article,/recipes-menus/the-easiest-most-impressive-way-to-use-cucumbers-article,,Your New Go-To Cucumber Dish,,You know that cold cucumber dish you've marveled at in Chinese restaurants? It's shockingly easy to make at home.
recipe,/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,100%,Cucumber and Raisin Relish With Mustard Seeds,4,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs."
article,/expert-advice/how-to-raise-ducks-for-a-vegetable-garden-article,,Transform Your Vegetable Garden With This One Simple Quack,,An ode to the backyard duck.
article,/expert-advice/3-ingredient-summer-appetizer-recipes-article,,41 Three-Ingredient Summer Appetizers,,Summer snacking doesn't need to be an elaborate affair—try these ideas for easy appetizers with three ingredients or fewer.
recipe,/recipes/food/views/fresh-dill-cucumbers-with-lemon,0%,Fresh Dill Cucumbers with Lemon,0,Fresh Dill Cucumbers with Lemon
article,/expert-advice/how-to-preserve-summer-vegetables-fruits-without-canning-article,,How to Preserve Summer's Bounty—No Canning Required,,You don't need to do the whole hot-water bath thing if you want to preserve fruits and vegetables. Here are 3 alternative methods.
article,/holidays-events/mothers-day-weekend-brunch-dinner-meal-plan-menu-article,,What to Cook This Weekend: Pssst....It's Mother's Day,,"Feel free to get lost in hazy spring days with these easy, delicious dishes. But when Sunday rolls around, don't forget about your mama."
article,/recipes-menus/moroccan-chermoula-grilled-steak-salad-sauce-marinade-article,,What Makes This Steak Salad So Addictive? The Secret's In the Sauce.,,It's a marinade. It's a dressing. Is there anything this vibrant green sauce can't do?
article,/expert-advice/how-to-build-a-meal-around-a-ball-of-fresh-mozzarella-article,,How to Build a Meal Around a Ball of Mozzarella,,"The fresh, creamy cheese can be turned into so many satisfying, uncomplicated summer meals."
article,/expert-advice/how-to-make-shaved-avocado-mango-chocolate-article,,The Simple Tool That Makes Food Look Amazing ,,It can shave. It can ribbon. It can curl. It can zest. It can get you at least a hundred new Instagram followers.
article,/recipes-menus/what-to-cook-this-weekend-march-early-spring-vegetables-article,,The Early-Spring Recipes You Need This Weekend,,Put away your soup pots and slow cookers and kick off the new season this weekend.
article,/expert-advice/the-best-and-worst-produce-to-buy-organic-article,,The Best (and Worst) Produce to Buy Organic ,,Why it might not pay to buy organic mangoes—and why those cheap strawberries might be a bad idea.
article,/ingredients/ultimate-guide-to-buying-pickles-article,,How to Navigate the Pickle Aisle,,Everything you need to know when buying pickles.
article,/expert-advice/netcost-best-grocery-store-in-america-article,,The Best Grocery Store in America Is Net Cost,,"It's not grim Communist bread lines. It's not Putin-era luxury. It's a wonderland of salt, smoke, and fat."
article,/expert-advice/on-mom-cooking-and-why-we-should-not-knock-it-article,,"Why I Won’t Be Shamed for Cooking “Mom Recipes""",,Getting dinner on the table night after night is no easy feat. So let's not shame parents who sometimes need to take a shortcut or two.
recipe,/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,100%,Crispy Pork Lettuce Wraps,4,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights."
article,/expert-advice/how-to-pack-a-no-wilt-salad-article,,The Ultimate No-Wilt Lunch Salad,,Skip the sad spring mix and follow these tips instead.
article,/expert-advice/how-to-make-grain-noodle-bowls-lukas-volger-article,,How to Become a Pro Bowler,,Bowl food doesn't get beautiful (and nutritious) (and filling) automatically—it takes a plan. And there's nobody better to get that plan from than the guy who literally wrote the book on the subject.
article,/ingredients/16-ways-to-cook-with-chile-oil-article,,16 Ways to Cook With Chile Oil,,"Whether homemade or store-bought, chile oil will add a welcome hit of heat and flavor to almost anything you cook."
recipe,/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,0%,Miso-Cured Black Cod with Chilled Cucumbers,1,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.
article,/recipes-menus/easter-easy-holiday-sandwich-lunch-buffet-article,,Make a Springtime Sandwich Lunch Buffet for Easter,,"Easter doesn't have to mean salty ham or long-cooking lamb. Freshen things up with this fun, fresh sandwich spread that's perfect for a holiday crowd."
article,/expert-advice/how-to-throw-hot-pot-party-at-home-article,,How to Throw a Hot Pot Party With a Slow Cooker,,"It's the all-you-can-eat fondue party that, thankfully, isn't a fondue party at all."
article,/expert-advice/how-to-move-meat-to-the-side-of-the-plate-article,,How to Eat Less Meat (Without Going Cold Turkey),,Consider shifting meat from the center of your plate to the side.
recipe,/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799,60%,Cold Asian Noodle Salad,3,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow."
article,/expert-advice/the-year-of-bowl-food-2015-article,,We May Have Become Slightly Obsessed With Bowl Food This Year,,Plates are so 2014.
recipe,/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645,0%,Cucumbers with Scallions and Chili Oil,0,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.
recipe,/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861,100%,Strawberry-Cucumber Salad with Lemon Cream,4,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.
article,/expert-advice/its-okay-to-eat-hummus-for-dinner-article,,Eat Hummus for Dinner,,Turn your favorite dip into a satisfying meal with these 5 topping ideas.
article,/expert-advice/how-to-make-banh-mi-sandwich-at-home-article,,The Keys to Making Great Bánh Mì at Home,,Not making this classic Vietnamese sandwich at home? Don't worry—Sandwich Theory will show you the way.
recipe,/recipes/food/views/ginger-dill-pickles-56389773,0%,Ginger-Dill Pickles,0,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine."
recipe,/recipes/food/views/sweet-and-sour-pickles-56389775,100%,Sweet and Sour Pickles,2,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms."
article,/expert-advice/11-things-you-should-never-put-in-your-freezer-article,,11 Things You Should Never Put in Your Freezer,,The freezer is a lifesaver—except when it kills the groceries you put into it.
article,/expert-advice/how-to-freeze-summer-fruits-and-vegetables-article,,How to Put Away Summer Fruits and Vegetables for the Winter,,Keep a little piece of summer for the rest of the year.
article,/recipes-menus/what-to-cook-this-weekend-all-the-tomatoes-article,,This Weekend: Deep Dive Into Tomato Season,,Now is the time to eat your weight in tomatoes.
guide,/recipes-menus/salad-recipes-advice-tips-techniques-dressings-package,,Everything You Need to Make Sensational Salads,,"Recipes, techniques, dressings, and the surprise ingredient you're probably leaving out."
recipe,/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585,100%,Charred Romaine Greek Salad With Quinoa-Crusted Feta,4,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!"
article,/expert-advice/refreshing-cold-soups-for-summer-article,,"4 Cool, Refreshing Soups for Summer",,Because there's no better time to eat soup than the summer. Honest!
article,/expert-advice/how-to-pickle-basically-everything-article,,How to Pickle Everything,,The easiest way to preserve summer's flavors? Quick pickle them.
article,/expert-advice/low-alcohol-summer-cocktails-inspired-by-pimms-cup-article,,Why You Should Drink Like a Brit This Summer,,Summer’s most thirst-quenching cocktails all have one thing in common.
article,/recipes-menus/light-easy-sides-for-summer-article,,Light and Easy Sides for Early Summer,,That other half of your plate isn't going to fill itself.
article,/expert-advice/best-easy-pan-bagnat-recipe-article,,The World's Best Sandwich Comes From France,,"Remember that mushy, dented PB&J in your lunchbag? This ain't that."
article,/expert-advice/how-to-make-one-pot-no-cook-summer-pasta-article,,The 12 Best Summertime Pastas (No Cooking Required),,"When it comes to summertime pasta, easy does it."
recipe,/recipes/food/views/-lentils-with-cucumbers-chard-and-poached-egg-51260640,100%,"Lentils with Cucumbers, Chard, and Poached Egg",3.5,"Start your weekend mornings right with this healthier, more delicious breakfast bowl."
recipe,/recipes/food/views/all-green-salad-with-citrus-vinaigrette-56389342,77%,All Green Salad with Citrus Vinaigrette,3.5,"This all-green salad is studded with creamy avocado, crunchy cucumbers, and asparagus, and punctuated by tons of fresh dill and basil. The varied shades of green look like spring in a bowl."
article,/sponsored/soil-to-seed-to-supper-article,,Soil to Seed to Supper,,The 5 easy and edible seeds to grow.
article,/ingredients/five-ways-to-turn-a-can-of-tuna-into-dinner-article,,Five Ways to Turn a Can of Tuna Into Dinner,,This simple little can has so much potential.
article,/expert-advice/how-to-build-salad-article,,A 4-Step Plan to Satisfying Salads,,"A salad without variety is so wrong. But if you use this guide, your salads will be so right."
article,/ingredients/how-to-cook-with-vinegar-guide-article,,"Which Vinegar to Use, When",,So many vinegars. So many ways to use them.
article,/expert-advice/quick-breakfast-ideas-recipes-article,,17 Ways to Trick Out Breakfast,,"Waking up is hard enough. So let's make breakfast easy. Here, tips and tricks to make the morning meal better, faster."
article,/recipes-menus/peach-salad-at-brooklyns-reynard-proves-you-need-to-be-making-panzanella-right-now-article,,Why You Need To Make Panzanella Right Now,,"Think ""bread salad"" is a boring, gloopy, carbo mess? At Reynard in Brooklyn, they elevate the humble salad. And so can you. Here's how."
recipe,/recipes/food/views/crushed-cucumbers-with-lime-pickle-and-coconut-51248470,0%,Crushed Cucumbers with Lime Pickle and Coconut,0,"If you haven't cooked with MSG before, give it a try."
recipe,/recipes/food/views/grilled-sichuan-cumin-lamb-chops-with-quick-pickled-cucumbers-51239210,0%,Grilled Sichuan Cumin Lamb Chops with Quick Pickled Cucumbers,0,
recipe,/recipes/food/views/moroccan-vegetable-salad-51230210,100%,Moroccan Vegetable Salad,4,"An easy and fresh alternative to traditional green salads, this chilled North African-inspired dish combines potato, bell peppers, cucumbers, and olives with a light and tangy vinaigrette. Simple to prepare, it's great to double or triple for potlucks or group meals. Serve with the salad spread out on a large platter to let the colors and shapes of the ingredients shine. Make extra dressing to reinvigorate leftovers the next day. For a pretty variation, serve the salad garnished with sliced or diced cooked beets."
recipe,/recipes/food/views/katchkie-farm-cool-cucumber-yogurt-soup-51189810,0%,Katchkie Farm Cool Cucumber Yogurt Soup,1,"This soup is about as easy as opening a can, and it is especially good for lunch on a hot day or poured out of a thermos at a picnic; it is so refreshing and satisfying. And if you have cucumbers in your garden, here is a way besides salad or pickles to use your bounty. This recipe can easily be doubled."
recipe,/recipes/food/views/shirazi-salad-51169570,100%,Shirazi Salad,3.5,"For this juicy, herbaceous salad, feel free to combine different varieties of cucumbers and tomatoes, which are at peak season around the same time."
recipe,/recipes/food/views/naamas-fattoush-51115620,100%,Na'ama's Fattoush,4,"Arab salad, chopped salad, Israeli salad—whatever you choose to call it, there is no escaping it. Wherever you go, a Jerusalemite is most likely to have a plate of freshly chopped vegetables—tomato, cucumber, and onion, dressed with olive oil and lemon juice—served next to whatever else they are having. It's a local affliction, quite seriously. Friends visiting us in London always complain of feeling they ate ""unhealthily"" because there wasn't a fresh salad served with every meal.
There are plenty of unique variations on the chopped salad but one of the most popular is fattoush, an Arab salad that uses grilled or fried leftover pita. Other possible additions include peppers, radishes, lettuce, chile, mint, parsley, cilantro, allspice, cinnamon, and sumac. Each cook, each fmily, each community has their own variation. A small bone of contention is the size of the dice. Some advocate the tiniest of pieces, only 1/8 inch / 3 mm wide, others like them coarser, up to 3/4 inch / 2 cm wide. The one thing that there is no arguing over is that the key lies in the quality of the vegetables. They must be fresh, ripe, and flavorsome, with many hours in the sun behind them.
This fabulous salad is probably Sami's mother's creation; Sami can't recall anyone else in the neighborhood making it. She called it fattoush, which is only true to the extent that it includes chopped vegetables and bread. She added a kind of homemade buttermilk and didn't fry her bread, which makes it terribly comforting.
Try to get small cucumbers for this as for any other fresh salad. They are worlds apart from the large ones we normally get in most supermarkets. You can skip the fermentation stage and use only buttermilk instead of the combination of milk and yogurt."
recipe,/recipes/food/views/spiced-cucumbers-and-coconut-milk-395924,67%,Spiced Cucumbers and Coconut Milk,3.5,"""Nobody thinks to cook cucumbers, but I treat them as I would any vegetable"""
recipe,/recipes/food/views/carrot-and-yogurt-sauce-395932,100%,Carrot and Yogurt Sauce,3.5,Use this orange-tinted sauce on sandwiches with salmon or cucumbers.
recipe,/recipes/food/views/cucumber-and-radish-salad-395895,0%,Cucumber and Radish Salad,1,"Michael Lindley, Public House, Chattanooga: ""Cucumbers are great in picnic food, something you can take with you anywhere."""
recipe,/recipes/food/views/cucumber-and-avocado-salad-395438,88%,Cucumber and Avocado Salad,3.5,"Sprinkle salt and sugar on produce like cucumbers, tomatoes, or berries (hold the salt!); let stand for 20-40 minutes. This process, also called maceration, draws out the juices, creating a natural sauce."
recipe,/recipes/food/views/cucumber-aloe-cocktail-366715,0%,Cucumber-Aloe Cocktail,2,"""Here's a summer cocktail that isn't too herbaceous or vegetably,"" Kinch says. ""Aloe juice goes well with cucumbers, and Hendrick's Gin adds nice rose and cucumber notes."""
recipe,/recipes/food/views/roasted-cucumber-sandwiches-366725,80%,Roasted Cucumber Sandwiches,3.5,"""This is a play on English cucumber finger sandwiches,"" says Kinch, who roasts the cucumbers to deepen their flavor. ""It also works fantastically on the grill."" Use any cucumber, such as Japanese, Persian, or English hothouse, available at supermarkets and farmers' markets."
recipe,/recipes/food/views/cucumber-basil-egg-salad-364869,73%,Cucumber-Basil Egg Salad,3,"The glories of summer are captured in this pale green egg salad redolent of fresh basil, green onions, and crunchy cucumbers. Serve it surrounded by greens or tucked into pita loaves or slices of crusty bread for a satisfying lunch."
recipe,/recipes/food/views/persian-cucumber-and-purple-rice-salad-354964,67%,Persian Cucumber and Purple Rice Salad,3,"Juicy, crunchy cucumbers lighten the starch in a rice salad, and lemony coriander accentuates the citrus in the vinaigrette. So-called Persian cukes seem especially beautiful against a background of exotic purple jasmine rice. This is a party dish for which, no doubt, you will become justly famous."
recipe,/recipes/food/views/salmon-with-snap-peas-yellow-peppers-and-dill-pistachio-pistou-354297,95%,"Salmon with Snap Peas, Yellow Peppers, and Dill-Pistachio Pistou",4,A chunky pistou with full pistachio flavor adds depth to this fresh salmon dish. Want even more vegetables? Slice lemon cucumbers (a wonderful farmers' market variety that looks somewhat like a yellow tomato) and add a squeeze of lemon juice and a pinch of dill to make the perfect starter.
recipe,/recipes/food/views/lettuce-wraps-with-smoked-trout-354304,78%,Lettuce Wraps with Smoked Trout,3,"In this handheld treat, carrots, cucumbers, and smoked trout are tossed in a hot, sweet, and tangy sauce. For a simple side, steam some plain or sticky rice in the microwave, then chill it and mix in some chopped green onions, chopped fresh mint, lime juice, chili-garlic sauce, and a touch of soy sauce or fish sauce. For dessert, serve mango sorbet or fresh pineapple and mango slices."
recipe,/recipes/food/views/grilled-lime-curry-rubbed-hanger-steak-with-fresh-melon-cucumber-chutney-353669,100%,Grilled Lime-Curry-Rubbed Hanger Steak with Fresh Melon-Cucumber Chutney,4,"Melons and cucumbers have a real affinity—they're related, after all. Here, they come together in a cool, uncooked chutney, which cuts the robust richness of thinly sliced hanger steak."
recipe,/recipes/food/views/cucumber-kimchi-oi-gimchi-353209,100%,Cucumber Kimchi (Oi Gimchi),2.5,"A popular kimchi enjoyed in the summer, this dish is a good example of the ying and the yang in Korean cuisine. The coolness of the cucumbers is balanced with the spiciness of the chile powder. Even in the fermentation process, the cucumbers stay nice and crisp. You'll need a 1/2-gallon glass jar to hold the cucumbers."
recipe,/recipes/food/views/grilled-chicken-salad-with-radishes-cucumbers-and-tarragon-pesto-352032,88%,"Grilled Chicken Salad with Radishes, Cucumbers, and Tarragon Pesto",3.5,A lovely taste of spring.
recipe,/recipes/food/views/sweet-cucumber-and-radish-salad-241171,56%,Sweet Cucumber and Radish Salad,2,"Like it or not, cucumbers and radishes have become virtually seasonless. Here, they provide a lively, refreshing counterpoint to the meal's overall richness. What's more, the whole dish can be put together in mere minutes."
recipe,/recipes/food/views/cucumber-dill-soup-with-scallions-352429,63%,Cucumber-Dill Soup with Scallions,3,"This is one of my favorite soups. It has to be served really cold so that you can appreciate the buttermilk and yogurt tang and the sharpness they add to the cucumbers. The Tabasco is optional, but I recommend it to give a little kick at the end; it won't register as spicy, but you'll miss it if it's not there."
recipe,/recipes/food/views/tomato-and-watermelon-salad-352389,81%,Tomato and Watermelon Salad,3.5,"If the idea of tomatoes and watermelon together sounds odd to you, this dish will be a revelation. There is a saying that what grows together goes together, and in this case it is true. If you think of tomatoes as a fruit, which they are botanically, this combination makes more sense. Seasonality, however, is the key. I make this salad only in the summer, when tomatoes, watermelon, and cucumbers are at their peak of flavor. Rich, creamy Hass avocadoes are included to lend a nice contrast of flavor and texture. I always toss this salad together before serving, but for the photo opposite I was inspired to create a painstaking mosaic of the ingredients. If you're so inclined, feel free, but don't say I didn't warn you—it takes a lot of time."
recipe,/recipes/food/views/cucumber-apple-pickle-351891,86%,Cucumber Apple Pickle,3,"Korean tables—both in restaurants and at home—are always set with a series of banchan, or little dishes that can be eaten alone, with rice, or as an accompaniment to the main course. To keep things lively, banchan should run the gamut of tastes and textures, and this particular pickle really sparkles: It is sweet, tart, crisp, and fresh. Salting the sliced cucumbers and then squeezing out their excess water allows them to fully soak up the pickling mixture."
recipe,/recipes/food/views/minted-green-salad-351132,100%,Minted Green Salad,3,"Fresh mint and sliced cucumbers give this American-style salad a lightness that leaves you feeling satisfied, not stuffed."
recipe,/recipes/food/views/cucumber-salad-350881,92%,Cucumber Salad,3.5,"Forget fuss—the key to this recipe is leaving everything alone. Tossing cucumbers with salt and then letting them drain prevents their moisture from diluting the flavors of the finished dish. A long, unattended marination enhances the sweet-sour blend of sugar and white vinegar that makes this salad especially refreshing."
recipe,/recipes/food/views/shrimp-skewers-with-tzatziki-spinach-and-feta-242967,94%,"Shrimp Skewers with Tzatziki, Spinach, and Feta",3,"Tzatziki is a popular Greek sauce made from yogurt, cucumbers, garlic, and dill. Here we've subbed in shallots for garlic and used it to top skewers of shrimp. Serve any leftovers with pita chips, as a substitute for mayo on roast chicken sandwiches, or as a sauce for grilled lamb."
recipe,/recipes/food/views/cucumbers-with-wasabi-and-rice-vinegar-242292,100%,Cucumbers with Wasabi and Rice Vinegar,3.5,"The Japanese are wild about pickles, pickling practically every vegetable and root they come across—and in sweet, salty, sour, and bitter incarnations to boot. In this classic, a hit of wasabi powder adds a subtle heat to these savory quick pickles."
recipe,/recipes/food/views/pork-belly-buns-240258,68%,Pork-Belly Buns,3.5,"We knew Chang was something special the minute we tasted his signature dish. He plays with the classic Chinese pork bun, retaining its pillowy white wrapping, adding crisp cucumbers and scallions, and transforming it into an American original with pork belly. Make them at home, and the first bite will prove they are worth the effort."
recipe,/recipes/food/views/quick-spicy-asian-pickles-238544,100%,Quick & Spicy Asian Pickles,4,The flavors get stronger the longer the cucumbers marinate.
recipe,/recipes/food/views/cucumbers-and-dill-in-horseradish-cream-238067,100%,Cucumbers and Dill in Horseradish Cream,3,
recipe,/recipes/food/views/cucumber-noodles-237668,50%,Cucumber Noodles,2,"Cooking cucumbers takes them out of the salad realm, transforming them into a side dish that's perfect with fish or white meat. Perked up with mint and lemon, they're as refreshing as ever."
recipe,/recipes/food/views/shark-and-bake-234799,88%,Shark and Bake,3.5,"""Shark and bake,"" a popular Trinidadian pocket sandwich, is found at beach shacks and street stalls throughout the island. Part of its appeal is the variety of go-withs, from mango chutney to sliced cucumbers. ""Bake"" is a catchall term for several types of bread, grilled or fried.
Since blacktip shark — the traditional choice — is not readily available, catfish or tilapia fillets are substituted here. Pita pockets are a stand-in for the flatbread that's typically used to make the sandwich."
recipe,/recipes/food/views/japanese-cucumber-salad-with-miso-dressing-235823,50%,Japanese Cucumber Salad with Miso Dressing,3,Imrov: Use fresh lemon juice instead of yuzu juice; try English hothouse cucumbers in place of the Japanese variety.
recipe,/recipes/food/views/chilled-radish-buttermilk-soup-235443,82%,Chilled Radish Buttermilk Soup,2.5,
recipe,/recipes/food/views/grilled-gazpacho-salad-with-shrimp-235333,88%,Grilled Gazpacho Salad with Shrimp,3.5,"All of the ingredients that make gazpacho so yummy — tomatoes, onions, cucumbers, and bell peppers — turn up in this main-course salad."
recipe,/recipes/food/views/pan-cooked-bass-with-dill-and-cucumber-234985,92%,Pan-Cooked Bass with Dill and Cucumber,4,Cucumbers provide visual appeal and help keep the fish fillets delightfully moist.
recipe,/recipes/food/views/chief-of-staff-cholent-hebronite-hamim-231758,67%,Chief of Staff Cholent (Hebronite Hamim),3,"Editor's note: The recipe and introductory text below are excerpted from Joan Nathan's book The Foods of Israel Today. Nathan also shared some helpful cooking tips exclusively with Epicurious, which we've added at the bottom of the page.
To read more about Nathan and Israeli cuisine, click here.
According to the Ten Commandments, ""On the seventh day thou shalt rest,"" which means that no cooking can be done on the Sabbath. This tradition is the reason Israel is truly the center of the world for cholent, an overnight stew. Almost all Jewish families have brought their own unique versions — with Hungarian smoked goose breast, Brazilian black beans, Moroccan rice, Bukharan turkey giblets and raisin-stuffed cucumbers, or Polish barley and meat. A dish that has experienced a rebirth even among secular Israelis in the last few years, cholent is often served as a centerpiece main course for parties, usually blending several traditions in one exciting creation.
Eons ago, needing a dish that could be kept warm for the Sabbath, Jewish cooks came up with an overnight stew, the ingredients for which varied depending on where they lived. The stew was tightly sealed, often with a paste-like dough, and cooked before the Sabbath began, then left overnight in the embers to warm until the next day. During World War II, before Israelis had proper ovens, the cholent often was simmered over the small flame of a kerosene stove, the lid covered with two heavy bricks.
The word cholent comes from the French chaud, meaning ""warm,"" and lent, meaning ""slow."" In Israel, it is also called hamim, Hebrew for ""warm."" Like outdoor grilling, preparing cholent seems to have become the Israeli man's domain. It is served on every Israeli army base on Saturday, even in small military units on their own at lookout posts throughout the country, since the army, which officially observes the dietary laws, must serve a traditional Sabbath meal.
This Hebronite hamim recipe was given to me by Amnon Lipkin Shachak, a former Israeli army chief of staff. He combines the Ashkenazic basic beans and barley with Sephardic sausages and the long-cooking eggs in their shells called huevos haminadav to make an innovative Sabbath dish from Hebron, the city from which part of his family hails. According to him, the recipe changes each time he makes it, depending on what he can find in the cupboard. This version requires kishke (a traditional delicacy made of flour and fat stuffed into sausage casing, today obtainable from Jewish specialty stores) and the robust and highly aromatic eastern Mediterranean spice combination of baharat (see Tips, below)."
recipe,/recipes/food/views/kibbutz-vegetable-salad-231756,100%,Kibbutz Vegetable Salad,3.5,"Editor's note: The recipe and introductory text below are excerpted from Joan Nathan's book The Foods of Israel Today. Nathan also shared some helpful cooking tips exclusively with Epicurious, which we've added at the bottom of the page.
To read more about Nathan and Israeli cuisine, click here.
Sometimes called Turkish Salad, this typical Israeli salad, served at almost every meal, has many variations. But one thing remains the same: the tomatoes, onions, peppers, and cucumbers must be cut into tiny pieces, a practice of the Ottoman Empire. Two types of cucumber are common in Israel: one, like the Kirby cucumber, goes by the name of melafofon in Hebrew and khiyar in Arabic; the other, called fakus in Arabic, is thinner, longer, and fuzzy, and is eaten without peeling."
recipe,/recipes/food/views/hibiscus-flower-water-201231,100%,Hibiscus Flower Water,3,"Agua Fresca de Jamaica
Mexico has a wonderful variety of sweetened flavored waters known as aguas frescas, which are sold at street stands and marketplaces throughout the country. They are made from citrus fruits, melons, cucumbers, even the sweet-tart pulp of tamarind pods. But among the most popular is this one, made by steeping the dried, deep crimson calyxes of the hibiscus flower. This slightly tart, garnet-colored beverage is incredibly beautiful and refreshing. Piloncillo, the unrefined brown sugar used in traditional rustic desserts, adds a mellow, molasses-like sweetness."
recipe,/recipes/food/views/layered-pickled-herring-salad-with-tart-apples-and-red-onion-3004,100%,Layered Pickled Herring Salad with Tart Apples and Red Onion,3.5,"One of the layers in this delicious salad is lightly pickled sweet-and-sour cucumbers, a favorite throughout Denmark. They do need to marinate overnight, so make sure you start this recipe a day ahead of time."
recipe,/recipes/food/views/sour-cream-cucumbers-20073,90%,Sour Cream Cucumbers,3.5,
recipe,/recipes/food/views/crunchy-chicken-salad-with-shiitake-mushrooms-spicy-sesame-dressing-and-peanuts-101251,89%,"Crunchy Chicken Salad with Shiitake Mushrooms, Spicy Sesame Dressing and Peanuts",3.5,"Cabbage, cucumbers, carrots, and lots of fresh mint accent the salad. Offer chilled beer or a fruity white wine alongside."
recipe,/recipes/food/views/sauteed-cucumbers-with-cumin-and-mint-12413,0%,Sauteed Cucumbers with Cumin and Mint,1,Can be prepared in 45 minutes or less.
recipe,/recipes/food/views/sweet-and-sour-cucumbers-with-fresh-dill-109713,98%,Sweet-and-Sour Cucumbers with Fresh Dill,3.5,This refreshing dish can be prepared and chilled two hours before serving.
recipe,/recipes/food/views/green-papaya-salad-with-shrimp-10520,100%,Green Papaya Salad with Shrimp,3.5,"Green papaya salad in all its regional variations - often flavored with pork, beef, or shrimp (as below)-is hugely popular throughout Southeast Asia. The dish is made from unripe Southeast Asian papayas, which have firm white flesh and white seeds. The current popularity of Vietnamese and Thai food in the United States has increased these papayas' availability, although it is still generally limited to Asian markets. Such papayas can grow to the size of cantaloupes or larger and range in shape from oval to round. Look for rock-hard dark green fruit without a trace of pink or yellow blush. If you don't see any, ask (some shopkeepers do not display them).
Those who can't find the right kind of papaya might skip the salad or substitute seedless (European) cucumbers despite the repetition with the main course. Those who can find Southeast Asian green papayas will be treated to a salad that our food editors found irresistible."
recipe,/recipes/food/views/southeast-asian-style-turkey-burgers-with-pickled-cucumbers-101071,90%,Southeast Asian Style Turkey Burgers with Pickled Cucumbers,3.5,This recipe can be prepared in 45 minutes or less but may require additional sitting time.
recipe,/recipes/food/views/basil-tabbouleh-12521,78%,Basil Tabbouleh,3,Herbed-Bulgur Salad with Tomatoes and Cucumbers
recipe,/recipes/food/views/african-adobo-rubbed-tuna-steaks-108201,95%,African Adobo-Rubbed Tuna Steaks,4,"Adobo means spice rub or marinade, and this particular recipe was introduced by African slaves and brought to Bahía in Brazil in the 17th century. I think that it gives tuna a new and exciting dimension. There is spiciness in the dish, as would be expected from an adobo. To provide the American palate a little relief from the heat, the tuna is served on a bed of lightly pickled cucumbers."
recipe,/recipes/food/views/cordoban-gazpacho-106875,75%,Cordoban Gazpacho,3.5,"Salmorejo Cordobés
In Córdoba, gazpacho is reduced to its most basic elements, with no cucumbers or peppers, and is known as salmorejo. It takes on a saucelike consistency but is still considered a soup and is served in small portions. It is scattered with chopped hard-boiled egg and julienne strips of serrano ham, both indispensable to achieving salmorejo's fullest flavor. Salmorejo is sometimes used as a dip."
recipe,/recipes/food/views/red-flannel-hash-with-fried-eggs-5824,100%,Red Flannel Hash with Fried Eggs,3.5,"This recipe can be prepared in 45 minutes or less.
Serve this with steamed baby carrots, coleslaw and pickled cucumbers."
recipe,/recipes/food/views/creamy-cucumbers-108996,73%,Creamy Cucumbers,3.5,Active time: 20 min Start to finish: 20 min
recipe,/recipes/food/views/iced-cucumbers-and-carrots-101538,0%,Iced Cucumbers and Carrots,0,
recipe,/recipes/food/views/white-gazpacho-102302,67%,White Gazpacho,3,"When we think of gazpacho most of us think of a cold chunky tomato-based soup. But this world-renowned export from the Andalucian region of Spain is actually one of many different types of soup — cold, hot, thin, red, green and white — which share the name gazpacho. White gazpacho remains closer than most modern varieties to the soup's origins as a simple combination of bread, nuts, salt, olive oil, and vinegar. Cucumbers, grapes and a pinch of cayenne elevate what was once a poor man's meal to a refined soup."
